Date,Open,High,Low,Close,Volume
19-Feb-15,76.99,79.84,76.95,79.42,45851177
18-Feb-15,75.94,76.90,75.45,76.71,22426421
17-Feb-15,75.30,76.91,75.08,75.60,25254400
13-Feb-15,76.46,76.48,75.50,75.74,18621860
12-Feb-15,76.86,76.87,75.89,76.23,17234976
11-Feb-15,75.09,76.75,75.03,76.51,20877427
10-Feb-15,74.85,75.34,74.50,75.19,15811344
9-Feb-15,74.05,74.83,73.45,74.44,16194322
6-Feb-15,75.68,75.70,74.25,74.47,21210994
5-Feb-15,75.71,75.98,75.21,75.62,15062573
4-Feb-15,75.09,76.35,75.01,75.63,20277368
3-Feb-15,75.19,75.58,73.86,75.40,26957714
2-Feb-15,76.11,76.14,73.75,74.99,41955258
30-Jan-15,78.00,78.16,75.75,75.91,42649491
29-Jan-15,76.85,78.02,74.21,78.00,61293468
28-Jan-15,76.90,77.64,76.00,76.24,53306422
27-Jan-15,76.71,76.88,75.63,75.78,20109977
26-Jan-15,77.98,78.47,77.29,77.50,19260820
23-Jan-15,77.65,78.19,77.04,77.83,16746503
22-Jan-15,77.17,77.75,76.68,77.65,19519458
21-Jan-15,76.16,77.30,75.85,76.74,25096737
20-Jan-15,75.72,76.31,74.82,76.24,22821614
16-Jan-15,74.04,75.32,73.84,75.18,21791529
15-Jan-15,76.40,76.57,73.54,74.05,34133974
14-Jan-15,76.42,77.20,76.03,76.28,25918564
13-Jan-15,77.23,78.08,75.85,76.45,25179561
12-Jan-15,77.84,78.00,76.21,76.72,19190194
9-Jan-15,78.20,78.62,77.20,77.74,21157007
8-Jan-15,76.74,78.23,76.08,78.18,23960953
7-Jan-15,76.76,77.36,75.82,76.15,22045333
6-Jan-15,77.23,77.59,75.36,76.15,27399288
5-Jan-15,77.98,79.25,76.86,77.19,26452191
2-Jan-15,78.58,78.93,77.70,78.45,18177475
31-Dec-14,79.54,79.80,77.86,78.02,20040439
30-Dec-14,79.85,80.59,79.10,79.22,14370763
29-Dec-14,80.49,80.96,79.71,80.02,14134666
26-Dec-14,81.02,81.28,80.51,80.78,10647388
24-Dec-14,81.03,81.43,80.75,80.77,7685481
23-Dec-14,82.02,82.17,80.40,80.61,19865820
22-Dec-14,80.08,81.89,80.00,81.45,31395770
19-Dec-14,78.75,80.00,78.33,79.88,43334992
18-Dec-14,76.89,78.40,76.51,78.40,34222081
17-Dec-14,75.01,76.41,74.90,76.11,29203904
16-Dec-14,76.19,77.39,74.59,74.69,31554593
15-Dec-14,78.46,78.58,76.56,76.99,29396532
12-Dec-14,77.16,78.88,77.02,77.83,28091617
11-Dec-14,76.52,78.52,76.48,77.73,33492661
10-Dec-14,76.65,77.55,76.07,76.18,32210532
9-Dec-14,75.20,76.93,74.78,76.84,25358584
8-Dec-14,76.18,77.25,75.40,76.52,25733853
5-Dec-14,75.80,76.76,75.36,76.36,24306446
4-Dec-14,74.83,75.55,74.66,75.24,14390520
3-Dec-14,75.38,75.73,74.40,74.88,16689857
2-Dec-14,75.33,75.91,75.04,75.46,16773884
1-Dec-14,77.26,77.31,74.80,75.10,31789866
28-Nov-14,77.67,78.27,77.23,77.70,15992035
26-Nov-14,75.53,77.78,75.51,77.62,32721585
25-Nov-14,74.21,75.74,74.13,75.63,32250205
24-Nov-14,73.54,74.35,73.35,74.01,22103831
21-Nov-14,74.50,74.50,73.50,73.75,23060382
