Date,Open,High,Low,Close,Volume
27-Jan-15,222.06,224.53,219.59,222.62,898014
26-Jan-15,232.21,232.35,224.58,226.36,1859946
23-Jan-15,229.49,235.37,227.10,232.22,1915975
22-Jan-15,220.36,226.00,217.14,224.94,1419139
21-Jan-15,213.39,219.58,210.31,219.20,1193960
20-Jan-15,215.22,215.90,210.09,213.06,1020403
16-Jan-15,213.12,217.59,209.60,214.18,1109002
15-Jan-15,220.00,221.55,212.83,213.21,1370651
14-Jan-15,220.00,224.71,218.02,219.43,1366306
13-Jan-15,226.10,228.39,221.37,223.00,1583644
12-Jan-15,226.61,229.01,221.71,223.13,1654565
9-Jan-15,227.80,230.15,224.09,227.13,1517046
8-Jan-15,223.59,228.72,220.77,227.05,1293955
7-Jan-15,220.99,223.43,217.37,222.16,985016
6-Jan-15,227.62,228.78,214.52,219.51,2006546
5-Jan-15,227.99,232.20,225.56,227.51,1400562
2-Jan-15,230.74,231.39,224.26,229.65,1203743
31-Dec-14,233.09,233.70,229.11,229.71,599819
30-Dec-14,232.37,234.16,230.26,232.67,533978
29-Dec-14,235.30,237.19,232.41,233.34,714943
26-Dec-14,232.27,237.04,231.53,235.25,794951
24-Dec-14,231.24,234.73,230.21,231.83,478626
23-Dec-14,235.19,238.19,230.88,231.49,1278463
22-Dec-14,234.71,235.25,231.01,233.00,1403340
19-Dec-14,232.81,243.25,231.32,234.61,3318527
18-Dec-14,224.05,232.30,223.56,231.84,2370353
17-Dec-14,216.53,220.60,215.10,219.78,1145334
16-Dec-14,215.83,221.63,214.94,215.57,1423983
15-Dec-14,221.71,223.17,217.87,218.02,1072393
12-Dec-14,214.97,221.86,214.27,219.90,1280101
11-Dec-14,215.19,220.75,214.20,217.36,1154815
10-Dec-14,215.38,218.41,214.03,215.07,1300804
9-Dec-14,207.04,215.68,205.00,215.47,1173967
8-Dec-14,216.90,218.43,209.50,211.94,1911279
5-Dec-14,218.26,219.03,216.02,218.08,1186035
4-Dec-14,216.23,219.99,216.08,218.83,775489
3-Dec-14,216.87,218.80,213.25,217.74,1200909
2-Dec-14,217.88,218.50,213.71,215.02,1296314
1-Dec-14,225.81,225.88,216.07,216.81,1577237
28-Nov-14,225.72,227.90,224.00,226.27,493171
26-Nov-14,223.76,226.74,222.59,226.34,969617
25-Nov-14,221.56,224.86,221.17,224.35,1017857
24-Nov-14,219.20,222.00,215.52,221.76,1159450
21-Nov-14,222.90,224.50,218.00,219.09,1052289
20-Nov-14,218.50,222.26,217.11,220.30,798952
19-Nov-14,220.10,222.10,216.38,219.61,1289021
18-Nov-14,219.28,225.50,219.00,221.07,1973239
17-Nov-14,229.44,230.69,219.44,223.28,2756876
14-Nov-14,230.06,234.83,229.72,233.89,1395613
13-Nov-14,231.90,234.79,228.51,229.77,1366487
12-Nov-14,230.88,231.44,228.20,231.13,1024532
11-Nov-14,229.21,231.46,226.12,231.00,1051059
10-Nov-14,221.75,230.28,221.66,229.25,1482354
7-Nov-14,224.65,226.42,222.18,223.04,1363371
6-Nov-14,221.84,226.98,221.25,224.65,3299620
5-Nov-14,235.96,236.68,218.18,218.18,3769496
4-Nov-14,232.49,238.77,231.87,238.43,2463291
3-Nov-14,228.21,236.15,226.44,233.08,2941162
31-Oct-14,224.24,232.23,222.73,228.96,6947123
30-Oct-14,198.46,203.74,195.50,202.90,4365384
29-Oct-14,202.99,202.99,197.12,199.51,1742975
28-Oct-14,199.12,205.80,198.63,205.35,1296890
27-Oct-14,202.31,202.31,198.50,199.99,957070
24-Oct-14,201.50,203.49,199.20,202.10,873209
23-Oct-14,202.98,204.78,199.55,202.62,1062406
22-Oct-14,206.40,206.40,198.28,198.52,1446918
21-Oct-14,201.00,206.89,200.00,205.38,1527929
20-Oct-14,195.70,199.50,193.22,198.44,1033456
17-Oct-14,201.66,201.66,195.50,195.96,1417097
16-Oct-14,188.69,202.48,187.61,198.39,2032867
15-Oct-14,192.00,200.85,191.45,199.62,1539120
14-Oct-14,195.01,199.64,193.21,196.02,1034513
13-Oct-14,195.06,199.24,189.20,193.13,1843351
10-Oct-14,200.67,205.22,194.13,194.23,2403315
9-Oct-14,206.84,206.98,200.65,201.99,1684133
8-Oct-14,204.35,207.08,192.19,207.07,2070863
7-Oct-14,207.84,208.77,204.03,204.39,1204452
6-Oct-14,211.89,213.63,207.72,208.22,1191485
3-Oct-14,210.09,213.40,207.74,210.87,1458780
2-Oct-14,203.40,208.39,200.80,207.00,1527950
1-Oct-14,207.42,208.20,201.00,203.08,1877416
30-Sep-14,210.26,211.96,205.55,207.79,1269713
29-Sep-14,211.03,213.49,209.11,210.38,983022
